Name,Platform,Year,Genre,Global_Sales
Big Brain Academy,PS3,2011,Sports,6.69
Red Dead Redemption,DS,2005,Misc,6.67
FIFA 15,PS3,2010,Action,6.6
Donkey Kong Country Returns,PS4,2014,Sports,6.59
The Elder Scrolls V: Skyrim,Wii,2010,Platform,6.59
The Legend of Zelda,PS3,2011,Role-Playing,6.56
Assassin's Creed III,NES,1986,Action,6.51
Halo: Combat Evolved,PS3,2012,Action,6.5
Pokémon Emerald Version,XB,2001,Shooter,6.43
Kingdom Hearts,Game BoyA,2004,Role-Playing,6.41
Pokémon Crystal Version,PS2,2002,Role-Playing,6.4
Halo 3: ODST,Game Boy,2000,Role-Playing,6.39
Red Dead Redemption,X360,2009,Shooter,6.36
Super Mario Sunshine,X360,2010,Action,6.34
Street Fighter II: The World Warrior,GC,2002,Platform,6.31
World of Warcraft,SNES,1992,Fighting,6.3
Driver,PC,2004,Role-Playing,6.28
Kinect Sports,PS,1999,Action,6.27
Gears of War 3,X360,2010,Sports,6.24
Gears of War,X360,2011,Shooter,6.24
Metal Gear Solid 2: Sons of Liberty,X360,2006,Shooter,6.11
Sonic the Hedgehog 2,PS2,2001,Action,6.05
Metal Gear Solid 4: Guns of the Patriots,GEN,1992,Platform,6.03
Metal Gear Solid,PS3,2008,Action,6.03
The Last of Us,PS,1998,Action,6.03
Final Fantasy XII,PS3,2013,Action,5.99
LittleBigPlanet,PS2,2006,Role-Playing,5.95
Dragon Quest IX: Sentinels of the Starry Skies,PS3,2008,Platform,5.92
LEGO Star Wars: The Complete Saga,DS,2009,Role-Playing,5.84
Resident Evil 2,Wii,2007,Action,5.83
Tekken 2,PS,1998,Action,5.82
Cooking Mama,PS,1996,Fighting,5.74
Destiny,DS,2006,Simulation,5.72
Tetris,PS4,2014,Shooter,5.65
Assassin's Creed II,NES,1988,Puzzle,5.58
Super Smash Bros.,PS3,2009,Action,5.57
Assassin's Creed,N64,1999,Fighting,5.55
Batman: Arkham City,X360,2007,Adventure,5.55
Forza Motorsport 3,PS3,2011,Action,5.53
Monster Hunter Freedom Unite,X360,2009,Racing,5.51
Super Mario Advance,PSP,2008,Role-Playing,5.5
Mario Kart: Super Circuit,Game BoyA,2001,Platform,5.49
Super Mario World,Game BoyA,2001,Racing,5.47
Pokemon Stadium,Game BoyA,2001,Platform,5.46
Call of Duty: World at War,N64,1999,Strategy,5.45
Crash Bandicoot: The Wrath of Cortex,PS3,2008,Shooter,5.43
Minecraft,PS2,2001,Platform,5.42
Final Fantasy XIII,PS3,2014,Misc,5.42
Dr. Mario,PS3,2009,Role-Playing,5.36
Pokemon Pinball,Game Boy,1989,Puzzle,5.34
Assassin's Creed III,Game Boy,1999,Misc,5.31
Final Fantasy IX,X360,2012,Action,5.3
Final Fantasy X-2,PS,2000,Role-Playing,5.3
Donkey Kong 64,PS2,2003,Role-Playing,5.29
Assassin's Creed II,N64,1999,Platform,5.27
Professor Layton and the Curious Village,X360,2009,Action,5.27
Tomb Raider II,DS,2007,Puzzle,5.26
Madden NFL 2004,PS,1997,Action,5.24
Dragon Quest VIII: Journey of the Cursed King,PS2,N/A,Sports,5.23
Diablo III,PS2,2004,Role-Playing,5.21
Super Mario Bros. 3,PC,2012,Role-Playing,5.2
New Super Mario Bros. U,Game BoyA,2003,Platform,5.2
Super Mario Land 3: Wario Land,WiiU,2012,Platform,5.19
FIFA Soccer 13,Game Boy,1994,Platform,5.19
The Legend of Zelda: Phantom Hourglass,X360,2012,Action,5.18
Donkey Kong Country 2: Diddy's Kong Quest,DS,2007,Action,5.17
Tomodachi Life,SNES,1995,Platform,5.15
Mario & Sonic at the Olympic Games,3DS,2013,Simulation,5.15
Medal of Honor: Rising Sun,DS,2008,Sports,5.14
Kirby's Dream Land,PS2,2003,Shooter,5.13
Fable III,Game Boy,1992,Platform,5.13
Call of Duty: Advanced Warfare,X360,2010,Role-Playing,5.13
Microsoft Flight Simulator,XOne,2014,Shooter,5.13
Guitar Hero II,PC,1996,Simulation,5.12
Resident Evil 5,PS2,2006,Misc,5.12
Grand Theft Auto V,PS3,2009,Action,5.11
Grand Theft Auto: Vice City Stories,XOne,2014,Action,5.08
FIFA Soccer 11,PSP,2006,Action,5.08
Super Mario Bros.,PS3,2010,Sports,5.08
Resident Evil,Game Boy,1999,Platform,5.07
Tony Hawk's Pro Skater,PS,1996,Action,5.05
Super Smash Bros. for Wii U and 3DS,PS,1999,Sports,5.02
Warzone 2100,WiiU,2014,Fighting,5.02
Spyro the Dragon,PS,1999,Strategy,5.01
Link's Crossbow Training,PS,1998,Platform,5
Guitar Hero III: Legends of Rock,Wii,2007,Shooter,5
Fallout 3,PS2,2007,Misc,4.98
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,X360,2008,Role-Playing,4.96
Uncharted: Drake's Fortune,DS,2007,Role-Playing,4.96
Madden NFL 06,PS3,2007,Action,4.94
LEGO Star Wars: The Complete Saga,PS2,2005,Sports,4.91
Diddy Kong Racing,DS,2007,Action,4.9
Monster Hunter Freedom 3,N64,1997,Racing,4.88
Dr. Mario,PSP,2010,Role-Playing,4.87
StarCraft II: Wings of Liberty,NES,1990,Puzzle,4.85
Assassin's Creed,PC,2010,Strategy,4.83
FIFA 15,PS3,2007,Adventure,4.83
Crash Team Racing,PS3,2014,Sports,4.82
FIFA 17,PS,1999,Racing,4.79
Batman: Arkham City,PS4,2016,Sports,4.77
Driver 2,X360,2011,Action,4.76
The Simpsons: Hit & Run,PS,2000,Action,4.73
Tony Hawk's Pro Skater 2,PS2,2003,Racing,4.7
Animal Crossing: City Folk,PS,2000,Sports,4.68
The Lord of the Rings: The Two Towers,Wii,2008,Simulation,4.68
Forza Motorsport 4,PS2,2002,Action,4.67
Tomb Raider,X360,2011,Racing,4.64
Guitar Hero III: Legends of Rock,PS,1996,Action,4.63
The Legend of Zelda: A Link to the Past,Wii,2007,Misc,4.62
The Legend of Zelda: The Wind Waker,SNES,1991,Action,4.61
Mario & Sonic at the Olympic Winter Games,GC,2002,Action,4.6
Luigi's Mansion: Dark Moon,Wii,2009,Sports,4.58
Splatoon,3DS,2013,Action,4.58
The Last of Us,WiiU,2015,Shooter,4.57
Guitar Hero III: Legends of Rock,PS4,2014,Action,4.55
Madden NFL 2005,X360,2007,Misc,4.53
Pitfall!,PS2,2004,Sports,4.53
Madden NFL 07,2600,1981,Platform,4.5
Spider-Man: The Movie,PS2,2006,Sports,4.49
Dragon Quest VII: Warriors of Eden,PS2,2002,Action,4.48
Uncharted: The Nathan Drake Collection,PS,2000,Role-Playing,4.47
Call of Duty: Advanced Warfare,PS4,2015,Action,4.47
Nintendo Land,PS3,2014,Shooter,4.45
Michael Jackson: The Experience,PS2,2005,Action,4.45
Tony Hawk's Pro Skater 3,WiiU,2012,Misc,4.44
Winning Eleven: Pro Evolution Soccer 2007,Wii,2010,Misc,4.42
The Elder Scrolls IV: Oblivion,PS2,2001,Sports,4.41
Zelda II: The Adventure of Link,PS2,2006,Sports,4.39
Need for Speed: Most Wanted,X360,2006,Role-Playing,4.39
Resistance: Fall of Man,NES,1987,Adventure,4.38
Sonic the Hedgehog,PS2,2005,Racing,4.37
Kingdom Hearts II,PS3,2006,Shooter,4.35
FIFA 14,GEN,1991,Platform,4.34
Call of Duty: Advanced Warfare,PS2,2005,Role-Playing,4.33
Asteroids,X360,2013,Sports,4.31
Fable II,X360,2014,Shooter,4.31
Halo 5: Guardians,2600,1980,Shooter,4.31
Super Mario 3D World,X360,2008,Role-Playing,4.31
Batman: Arkham Asylum,XOne,2015,Shooter,4.26
Assassin's Creed: Revelations,WiiU,2013,Platform,4.25
Namco Museum,PS3,2009,Action,4.25
Metal Gear Solid 3: Snake Eater,PS3,2011,Action,4.24
Daxter,Game BoyA,2001,Misc,4.24
Warcraft II: Tides of Darkness,PS2,2004,Action,4.23
The Legend of Zelda: Ocarina of Time,PSP,2006,Platform,4.22
FIFA Soccer 06,PC,1995,Strategy,4.21
EyeToy Play,3DS,2011,Action,4.21
Uncharted 4: A Thief's End,PS2,2005,Sports,4.21
Gran Turismo 5 Prologue,PS2,2003,Misc,4.2
Assassin's Creed: Revelations,PS4,2016,Shooter,4.2
Street Fighter IV,PS3,2007,Racing,4.2
FIFA 12,X360,2011,Action,4.19
Teenage Mutant Ninja Turtles,PS3,2009,Fighting,4.19
Excitebike,X360,2011,Sports,4.19
Frogger,NES,1989,Action,4.17
Madden NFL 2003,NES,1984,Racing,4.16
Watch Dogs,PS,1997,Action,4.16
Half-Life,PS2,2002,Sports,4.14
Super Mario World 2: Yoshi's Island,PS4,2014,Action,4.14
FIFA Soccer 07,PC,1997,Shooter,4.12
The Legend of Zelda: Skyward Sword,SNES,1995,Platform,4.12
Street Fighter II Turbo,PS2,2006,Sports,4.11
Carnival Games,Wii,2011,Action,4.1
Fallout 4,SNES,1992,Fighting,4.1
World of Warcraft: The Burning Crusade,Wii,2007,Misc,4.1
Fallout: New Vegas,XOne,2015,Role-Playing,4.09
Forza Motorsport 2,PC,2007,Role-Playing,4.09
World Soccer Winning Eleven 9,X360,2010,Role-Playing,4.08
Namco Museum Vol.3,PS2,2007,Action,4.07
Tekken Tag Tournament,X360,2007,Racing,4.06
Far Cry 4,PS2,2005,Sports,4.06
Star Fox 64,PS,1996,Misc,4.05
Minecraft,PS2,2000,Fighting,4.05
Golf,PS4,2014,Shooter,4.03
Fallout 3,N64,1997,Shooter,4.03
Professor Layton and the Diabolical Box,PS4,2014,Misc,4.02
Left 4 Dead 2,NES,1984,Sports,4.01
Namco Museum: 50th Anniversary,PS3,2008,Role-Playing,4.01
EA Sports Active,DS,2007,Puzzle,4
Assassin's Creed: Unity,X360,2009,Shooter,3.99
Donkey Kong Land,PS2,2005,Misc,3.98
Tony Hawk's Underground,Wii,2009,Sports,3.92
Assassin's Creed IV: Black Flag,PS4,2014,Action,3.92
Monster Hunter 4 Ultimate,Game Boy,1994,Platform,3.91
MotorStorm,PS2,2003,Sports,3.9
The Elder Scrolls V: Skyrim,PS3,2013,Action,3.89
Tekken 5,3DS,2014,Role-Playing,3.89
Dragon Warrior III,PS3,2006,Racing,3.88
Sports Champions,PC,2011,Role-Playing,3.88
NBA 2K16,PS2,2005,Fighting,3.87
World Soccer Winning Eleven 8 International,NES,1988,Role-Playing,3.87
Flash Focus: Vision Training in Minutes a Day,PS3,2010,Sports,3.87
Namco Museum Vol.1,PS4,2015,Sports,3.85
The Legend of Zelda: Link's Awakening,PS2,2004,Sports,3.85
Mario & Luigi: Bowser's Inside Story,DS,2007,Misc,3.84
Big Brain Academy: Wii Degree,PS,1995,Misc,3.84
Nintendogs + cats,Game Boy,1992,Action,3.83
Batman: Arkham Knight,DS,2009,Role-Playing,3.83
Mario & Sonic at the London 2012 Olympic Games,Wii,2007,Misc,3.82
LEGO Indiana Jones: The Original Adventures,3DS,2011,Simulation,3.81
Resident Evil Director's Cut,PS4,2015,Action,3.79
Ratchet & Clank: Size Matters,Wii,2011,Sports,3.78
Just Dance 2014,X360,2008,Action,3.78
The Sims: Unleashed,PS,1996,Action,3.77
Super Paper Mario,PSP,2007,Platform,3.77
Harry Potter and the Sorcerer's Stone,Wii,2013,Misc,3.76
The Witcher 3: Wild Hunt,PC,2002,Simulation,3.76
Resident Evil 3: Nemesis,Wii,2007,Platform,3.76
Spyro: Year of the Dragon,PS,2001,Action,3.73
FIFA Soccer 2005,PS4,2015,Role-Playing,3.73
Pokémon Trading Card Game,PS,1999,Action,3.72
Battlefield 4,PS,2000,Platform,3.71
MySims,PS2,2004,Sports,3.7
Friend Collection,Game Boy,1998,Strategy,3.7
Tony Hawk's Pro Skater 4,PS3,2013,Shooter,3.69
Midnight Club 3: DUB Edition,DS,2007,Simulation,3.69
Banjo-Kazooie,DS,2009,Misc,3.67
SOCOM: U.S. Navy SEALs,PS2,2002,Sports,3.67
Guitar Hero: World Tour,PSP,2005,Racing,3.66
Gran Turismo 6,N64,1998,Platform,3.65
Jak and Daxter: The Precursor Legacy,PS2,2002,Shooter,3.65
Pokemon Snap,Wii,2008,Misc,3.65
FIFA Soccer 10,PS3,2013,Racing,3.64
Pro Evolution Soccer 2008,PS2,2001,Platform,3.64
Call of Duty: Ghosts,N64,1999,Simulation,3.63
Resident Evil 4,PS3,2009,Sports,3.63
Tom Clancy's The Division,PS2,2007,Sports,3.63
Star Wars: Battlefront,PS4,2013,Shooter,3.63
Doom II: Hell on Earth,PS2,2005,Action,3.62
The Simpsons: Road Rage,PS4,2016,Shooter,3.61
Cooking Mama 2: Dinner With Friends,PS2,2004,Shooter,3.61
Luigi's Mansion,PC,1994,Shooter,3.61
Star Wars: Battlefront II,PS2,2001,Racing,3.61
WWF SmackDown!,DS,2007,Simulation,3.61
Croc: Legend of the Gobbos,GC,2001,Action,3.6
Grand Theft Auto: Liberty City Stories,PS2,2005,Shooter,3.59
The Getaway,PS,2000,Fighting,3.58
Tomb Raider III: Adventures of Lara Croft,PS,1997,Platform,3.56
James Bond 007: Agent Under Fire,PS2,2006,Action,3.54
LEGO Star Wars: The Video Game,PS2,2002,Action,3.54
Battlefield 4,PS,1997,Action,3.54
FIFA Soccer 11,PS2,2001,Shooter,3.53
Rugrats in Paris: The Movie,PS2,2005,Action,3.53
Spyro 2: Ripto's Rage!,X360,2013,Shooter,3.53
Left 4 Dead,X360,2010,Sports,3.53
Mario & Sonic at the Olympic Winter Games,PS,2000,Action,3.52
Resident Evil 5,PS,1999,Platform,3.52
Donkey Kong Country 3: Dixie Kong's Double Trouble!,X360,2008,Shooter,3.52
Assassin's Creed: Brotherhood,DS,2009,Sports,3.52
Kung Fu,X360,2009,Action,3.51
Batman: Arkham Asylum,SNES,1996,Platform,3.51
Clubhouse Games,X360,2010,Action,3.5
FIFA Soccer 2004,NES,1985,Action,3.5
Star Wars Battlefront (2015),X360,2009,Action,3.5
Battlefield: Bad Company 2,DS,2006,Misc,3.5
Guitar Hero: On Tour,PS2,N/A,Sports,3.49
Assassin's Creed: Unity,XOne,2015,Shooter,3.49
Far Cry 3,X360,2010,Shooter,3.48
Monster Hunter 4,DS,2008,Misc,3.48
Borderlands,XOne,2014,Action,3.46
Tekken 4,PS3,2012,Shooter,3.45
Battlefield 4,3DS,2013,Role-Playing,3.44
LittleBigPlanet 2,X360,2009,Shooter,3.44
Grand Theft Auto 2,PS2,2002,Fighting,3.44
Final Fantasy III,PS4,2013,Shooter,3.43
Spider-Man 2,PS3,2011,Platform,3.42
F-1 Race,PS,1998,Action,3.42
FIFA Soccer 2003,SNES,1994,Role-Playing,3.42
Crash Bash,PS2,2004,Action,3.41
LEGO Batman: The Videogame,Game Boy,1990,Racing,3.41
Metal Gear Solid V: The Phantom Pain,PS2,2002,Sports,3.4
WWF War Zone,PS,2000,Misc,3.39
The Legend of Zelda: Majora's Mask,X360,2008,Action,3.38
Professor Layton and the Unwound Future,PS4,2015,Action,3.38
Rugrats: Search For Reptar,DS,2009,Action,3.38
Assassin's Creed IV: Black Flag,PS,1998,Fighting,3.36
English Training: Have Fun Improving Your Skills!,N64,2000,Action,3.36
James Bond 007: Nightfire,DS,2008,Puzzle,3.36
Ratchet & Clank,PS,1998,Adventure,3.34
Mario Party 9,X360,2013,Action,3.34
Star Wars Episode III: Revenge of the Sith,DS,2006,Misc,3.33
Max Payne,PS2,2002,Shooter,3.33
The Lord of the Rings: The Return of the King,PS2,2002,Platform,3.33
Assassin's Creed Syndicate,Wii,2012,Misc,3.32
Destiny,PS2,2005,Action,3.32
True Crime: Streets of LA,PS2,2001,Shooter,3.31
Wii Music,PS2,2003,Action,3.28
Gran Turismo (PSP),PS4,2015,Action,3.28
Monster Hunter X,XOne,2014,Shooter,3.28
Tekken,PS2,2003,Action,3.27
FIFA 16,Wii,2008,Misc,3.27
L.A. Noire,PSP,2009,Racing,3.27
Madden NFL 16,3DS,2015,Action,3.26
Yokai Watch 2 Ganso/Honke,PS,1995,Fighting,3.24
007: Tomorrow Never Dies,XOne,2015,Sports,3.23
Baseball,PS3,2011,Adventure,3.23
Killer Instinct,PS4,2015,Sports,3.22
WWF SmackDown! 2: Know Your Role,3DS,2014,Role-Playing,3.22
Crisis Core: Final Fantasy VII,PS,1999,Shooter,3.21
Dragon Quest VI: Maboroshi no Daichi,NES,1983,Sports,3.2
Dance Central,SNES,1995,Fighting,3.2
Enter the Matrix,PS,2000,Fighting,3.2
Super Mario Maker,PSP,2007,Role-Playing,3.19
Fallout: New Vegas,PSP,2008,Action,3.19
LEGO Batman: The Videogame,SNES,1995,Role-Playing,3.19
Rhythm Heaven,X360,2010,Misc,3.19
Ace Combat 04: Shattered Skies,PS2,2003,Action,3.18
Club Penguin: Elite Penguin Force,WiiU,2015,Platform,3.18
Animal Crossing,PS3,2010,Role-Playing,3.17
LEGO Batman: The Videogame,Wii,N/A,Action,3.17
Sonic Rush,DS,2008,Misc,3.17
Resident Evil 6,PS2,2001,Simulation,3.17
Halo: The Master Chief Collection,DS,2008,Adventure,3.16
FIFA Soccer 08,GC,2001,Simulation,3.15
Spider-Man,DS,2008,Action,3.15
Need for Speed III: Hot Pursuit,DS,2005,Platform,3.15
Star Wars Episode I Racer,PS3,2012,Shooter,3.15
Personal Trainer: Cooking,XOne,2014,Shooter,3.15
The Elder Scrolls IV: Oblivion,PS2,2007,Sports,3.14
Dragon Warrior IV,PS,2000,Action,3.13
Heavy Rain,PS,1998,Racing,3.12
Mass Effect 2,N64,1999,Racing,3.12
FIFA 15,DS,2006,Misc,3.12
Dragon Ball Z: Budokai,PS3,2007,Role-Playing,3.12
Madden NFL 2002,NES,1990,Role-Playing,3.12
World Class Track Meet,PS3,2010,Adventure,3.12
Borderlands 2,X360,2010,Role-Playing,3.11
The Legend of Zelda: A Link Between Worlds,X360,2014,Sports,3.11
Donkey Kong,PS2,2002,Fighting,3.09
The Sims: Vacation,PS2,2001,Sports,3.08
Mass Effect 3,NES,1986,Sports,3.08
Kung Fu Panda,X360,2012,Shooter,3.07
Far Cry 3,3DS,2013,Action,3.07
Epic Mickey,Game Boy,1994,Platform,3.07
Saints Row 2,PC,2002,Simulation,3.07
Rayman,X360,2012,Role-Playing,3.07
Killzone 2,X360,2008,Action,3.05
Tom Clancy's Splinter Cell,X360,2012,Shooter,3.04
Mike Tyson's Punch-Out!!,Wii,2010,Platform,3.04
WWE SmackDown! Shut Your Mouth,X360,2008,Action,3.03
Gears of War: Ultimate Edition,PS,1995,Platform,3.03
NBA 2K13,PS3,2009,Shooter,3.02
Dragon Ball Z: Budokai Tenkaichi 3,XB,2002,Action,3.02
wwe Smackdown vs. Raw 2006,NES,1987,Fighting,3.02
Middle-Earth: Shadow of Mordor,PS2,2002,Sports,3.02
Star Fox,XOne,2015,Shooter,3
The Sims: Livin Large,X360,2012,Sports,3
World Soccer Winning Eleven 6 International,PS2,2007,Fighting,3
Animal Crossing: Happy Home Designer,PS2,N/A,Fighting,3
Battlefield: Bad Company 2,PS4,2014,Action,2.99
The Sims 4,SNES,1993,Shooter,2.99
Star Wars: The Old Republic,PC,2000,Misc,2.99
Sonic Heroes,PS2,2002,Sports,2.99
Kirby Super Star Ultra,3DS,2015,Simulation,2.98
Hitman 2: Silent Assassin,PS3,2010,Shooter,2.97
Street Fighter IV,PC,2014,Simulation,2.97
Wave Race 64,PC,2011,Role-Playing,2.97
SOCOM II: U.S. Navy SEALs,PS2,2003,Platform,2.96
WWE SmackDown! vs. RAW 2006,DS,2008,Platform,2.96
inFAMOUS,PS2,2002,Action,2.96
Pac-Man Collection,X360,2009,Fighting,2.95
Mass Effect,N64,1996,Racing,2.94
WarioWare: Smooth Moves,PS2,2003,Shooter,2.94
Cooking Mama: Cook Off,PS2,2005,Fighting,2.94
Super Mario World 2: Yoshi's Island,PS3,2009,Action,2.94
FIFA 14,Game BoyA,2001,Puzzle,2.94
Titanfall,X360,2007,Role-Playing,2.93
Sonic Mega Collection Plus,Wii,2006,Puzzle,2.92
Sega Superstars Tennis,Wii,2007,Simulation,2.91
World Soccer Winning Eleven 7 International,Game BoyA,2002,Platform,2.91
Need for Speed: Most Wanted,PS4,2013,Sports,2.9
Hot Shots Golf 3,XOne,2014,Shooter,2.9
Call of Duty: Finest Hour,PS2,2004,Misc,2.9
Zumba Fitness 2,X360,2008,Sports,2.9
Syphon Filter,PS2,2003,Sports,2.9
Imagine: Babyz,PS3,2012,Racing,2.89
Colin McRae Rally,PS2,2001,Sports,2.89
Call of Duty: Ghosts,PS2,2004,Shooter,2.89
Madden NFL 13,Wii,2011,Sports,2.88
The Elder Scrolls III: Morrowind,PS,1999,Shooter,2.88
Mortal Kombat,DS,2007,Simulation,2.88
F-Zero,PS,1998,Racing,2.87
Yoshi's Story,XOne,2013,Shooter,2.86
Command & Conquer: Red Alert,X360,2012,Sports,2.86
Skylanders: Spyro's Adventure,XB,2002,Role-Playing,2.86
FIFA 16,PS3,2011,Fighting,2.85
Assassin's Creed: Brotherhood,SNES,1990,Racing,2.85
BioShock,N64,1997,Platform,2.85
Madden NFL 10,PC,1996,Strategy,2.85
Medal of Honor,Wii,2011,Action,2.85
WWE SmackDown! vs. Raw,PS3,2015,Sports,2.85
